nigerian states and capital,,,
1,F C T,Federal Capital Territory,2019-11-26 3:40
2,Abia State,Umuahia,2019-11-26 3:40
3,Adamawa State,Yola,2019-11-26 3:40
4,Akwa Ibom State,Uyo,2019-11-26 3:40
5,Anambra State,Awka,2019-11-26 3:40
6,Bauchi State,Bauchi,2019-11-26 3:40
7,Bayelsa State,Yenagoa,2019-11-26 3:40
8,Benue State,Makurdi,2019-11-26 3:40
9,Borno State,Maiduguri,2019-11-26 3:40
10,Cross River State,Calabar,2019-11-26 3:40
11,Delta State,Asaba,2019-11-26 3:40
12,Ebonyi State,Abakaliki,2019-11-26 3:40
13,Edo State,Benin City,2019-11-26 3:40
14,Ekiti State,Ado - Ekiti,2019-11-26 3:40
15,Enugu State,Enugu,2019-11-26 3:40
16,Gombe State,Gombe,2019-11-26 3:40
17,Imo State,Owerri,2019-11-26 3:40
18,Jigawa State,Dutse,2019-11-26 3:40
19,Kaduna State,Kaduna,2019-11-26 3:40
20,Kano State,Kano,2019-11-26 3:40
21,Katsina State,Katsina,2019-11-26 3:40
22,Kebbi State,Birnin Kebbi,2019-11-26 3:40
23,Kogi State,Lokoja,2019-11-26 3:40
24,Kwara State,Ilorin,2019-11-26 3:40
25,Lagos State,Ikeja,2019-11-26 3:40
26,Nasarawa State,Lafia,2019-11-26 3:40
27,Niger State,Minna,2019-11-26 3:40
28,Ogun State,Abeokuta,2019-11-26 3:40
29,Ondo State,Akure,2019-11-26 3:40
30,Osun State,Oshogbo,2019-11-26 3:40
31,Oyo State,Ibadan,2019-11-26 3:40
32,Plateau State,Jos,2019-11-26 3:40
33,Rivers State,Port Harcourt,2019-11-26 3:40
34,Sokoto State,Sokoto,2019-11-26 3:40
35,Taraba State,Jalingo,2019-11-26 3:40
36,Yobe State,Damaturu,2019-11-26 3:40
37,Zamfara State,Gusau,2019-11-26 3:40
